"","RNA.g0","RNA.g1","RNA.g2","RNA.g3","RNA.g4","RNA.g5","RNA.g6","RNA.g7","RNA.g8"
"AL627309.1",0.00610239824250931,0.0484424616561615,0.00598926484169774,0,0.0203953433352097,0,0,0,0
"AP006222.2",0,0.0108620798275971,0.00829191521682529,0,0.0118275869002379,0,0,0,0
"RP11-206L10.2",0.00742115027829314,0,0,0.02065030772337,0,0,0,0.0846284677636367,0
"RP11-206L10.9",0,0.0104793301168867,0,0,0,0.0120000768004915,0,0,0
"LINC00115",0.0190369945556457,0.0374593339238926,0.0249487513526838,0.038885409163415,0.0193400404593646,0.0146937384103138,0.0585515389024827,0,0
"NOC2L",0.500036644088133,0.271970895383846,0.356684368872293,0.586534893114227,0.552968023665449,0.500267749746542,0.700816043867694,0.328611358655146,0
"KLHL17",0.00783208020050125,0.0168709721106524,0.0202471065382263,0.00602607119441552,0,0,0.0331191627475657,0,0.0866738894907909
"PLEKHN1",0.00633793890226898,0.0305431868230668,0.0124615553681304,0,0.0162008123087292,0,0.031379440190787,0,0
"RP11-54O7.17",0,0.0163706492056985,0,0,0,0.0108753338727499,0,0,0
"HES4",0.0180065437202194,0.305519618083964,0.0301272358722606,0.0697429412066628,0,2.68916564657648,0.0326829427721672,0.102057478772044,0.173347778981582
"RP11-54O7.11",0,0,0,0.0307784066167681,0,0.0133351469133135,0,0.0551049197672368,0
"ISG15",1.77240773394346,9.31843746267158,4.9377007273874,2.26121246648312,2.60500026365542,10.1513869931134,5.12767953914914,6.14360268868058,2.67637509004236
"AGRN",0,0.0672514601869706,0,0,0.0169348296948852,0,0,0.0504764981424649,0
"C1orf159",0.0346980021469911,0.0476573417671873,0.0372146548788558,0.0160488995421975,0.0917694921113846,0,0,0.106837606837607,0
"TNFRSF18",0.0934381761270007,0.013110082248862,0.453176589942972,0.115345619138305,0.0587709471594189,0,0.753642601267961,0,0
"TNFRSF4",0.267369188461775,0.0180449859806028,1.19164309935139,0.0395764452573758,0.0751898665035144,0,0.272002377583065,0.0513726779549564,0
"SDF4",0.536647484614708,0.434100990198865,0.675970460016111,0.340372268427252,0.558254998534668,0.381915839289069,2.07681352492666,0.566501335605382,0.0866738894907909
"B3GALT6",0.100295699366543,0.103683099801257,0.0712530702024879,0.114025349136501,0.0597810742489647,0.123072375630301,0.272462645515526,0,0
"FAM132A",0,0.00832266644916765,0,0,0.0177127836702305,0,0,0,0
"UBE2J2",0.514322755147474,0.364433403518712,0.512759707374997,0.46410555662709,0.810294062221803,0.353930762792153,0.718856814383429,0.413303038998649,0.173347778981582
"ACAP3",0.0949855920362381,0.052985300851119,0.104736509609974,0.156253742756438,0.0991832929062973,0.103420569899685,0.121239111787021,0.137596799227132,0
"PUSL1",0.112905561865325,0.0717318978668753,0.0715059599255842,0.015727027255528,0.126150693058124,0.162957880159822,0.18750316381097,0,0
"CPSF3L",0.320822858816246,0.188609389429909,0.343578211937545,1.34458612695044,0.548094362357033,0.337748371758485,0.500084249081693,0.365395375513293,0.306100584652117
"GLTPD1",0.171951427527178,0.0641081866979514,0.192152378710621,0.118593905358982,0.110594968214487,0.0708904223270604,0.117496447257926,0.15080625064704,0
"DVL1",0.0134255248719953,0.017631973905268,0,0,0.0159956491834221,0,0,0,0
"MXRA8",0.0238224541638221,0,0.00926505849957937,0,0,0,0,0,0
"AURKAIP1",1.20261957715417,2.06555455973687,1.24590788367088,1.38070791560083,1.91656575179777,1.32941896362573,2.29005782096667,2.81244603174307,1.31921994576336
"CCNL2",0.186305687302684,0.266149689613036,0.258953162310838,0.247548570696637,0.286381301522602,0.213063942223404,0.313943806500019,0.229684958406867,0
"RP4-758J18.2",0.168317774860998,0.0663200051362562,0.21630394148512,0.196592408625288,0.195157165381659,0.0452121655121836,0.210231386137672,0.143501694974328,0
"MRPL20",1.38109165581975,1.82934777651692,1.39411746344744,1.16798288177165,1.07232751211384,1.06721416123257,1.93862607278979,1.12663478774411,0.785548948285815
"ATAD3C",0.0139334978330532,0,0.0267102575603787,0,0.0300986332210654,0,0.465326344314123,0,0
"ATAD3B",0.0430818826796824,0.0193243570442791,0.0194756819960993,0.0715421413432979,0.0989667286060864,0.0291710615007246,0.0379730011961495,0,0
"ATAD3A",0.0768320601815684,0.0555547959366121,0.0704154728654786,0.057858667725181,0.0369154198003248,0.0856596082642063,0.1336652891596,0.0492746767581205,0
"SSU72",1.64769809471826,2.23844888478856,1.85615213377709,1.93794343282039,2.03033750007234,1.85010658809922,1.67125215006286,1.85084061424141,2.4841694694784
"AL645728.1",0.0643363369964347,0.048163438781235,0.0450689587356848,0.0461957504424159,0.0768029300545816,0.0316069611171164,0,0.0474924012158055,0
"C1orf233",0.0116904685371416,0.0315357755809434,0.00764079696568671,0,0,0.0242945501905169,0,0.0512547154338199,0
"RP11-345P4.9",0.0907561885112336,0.0971390552012957,0.0353788020483627,0.0505575420638498,0,0.0487480666199311,0,0.0987521941742066,0
"MIB2",0.272249480161462,0.0691353264202063,0.252296810477373,0.146257365418888,0.854276853988146,0.135267095520409,1.35044188358021,0,0
"MMP23B",0.00512216360190545,0,0,0,0.127041791718332,0,0.37153056775433,0.0394172552976791,0
"CDK11B",0.147473365083481,0.0985310656404748,0.0758796024956111,0.0515302185214037,0.158540592465486,0.152835003087444,0.113079109742069,0,0.0866738894907909
"SLC35E2B",0.105075626949802,0.0480652178324908,0.0838573038560104,0.0397420484758259,0.129732207350452,0.0111182267762479,0.188748369846511,0,0
"CDK11A",0.320482509784967,0.273920984893684,0.225232249465562,0.142248137391048,0.286562199476644,0.40537645179712,0.457930875398254,0.0506975989617132,0
"SLC35E2",0.0318104259949329,0.00639496179330077,0.0478022991076119,0.0413011440476556,0,0,0,0.0474924012158055,0
"NADK",0.0283256384274735,0.417534737508486,0.101543077686253,0.112439096697327,0.169370435622906,0.707696605765753,0.223835912079772,0.147466409232199,0
"GNB1",0.374387077775417,0.855906677061981,0.347094767918331,0.292575736705303,0.58693005546662,1.00785685562657,0.530005659885295,1.16901620827006,1.5530018787142
"RP1-140A9.1",0,0.00752988800797566,0.0145079764854717,0.0104080800006661,0,0,0,0,0
"TMEM52",0,0,0.0130003853785205,0,0.0154753006464033,0,0,0,0
"PRKCZ",0.0554218121909207,0.0173203250673237,0.125660912034656,0,0.0949005655017611,0,0.0324527812033491,0,0
"RP5-892K4.1",0,0.035589593324054,0.00698514260168621,0.0542521390662828,0.0286620004929864,0.033813726157768,0,0,0
"C1orf86",0.80625429120738,1.52419296343993,0.87547442287934,0.950663818430443,0.608800884567038,1.07755585889701,0.983786276819061,0.746269560808831,0
"AL590822.2",0.0173157095056048,0,0,0,0,0,0,0,0
"SKI",0.103825446581215,0.123053538230947,0.126726728201251,0.0381139259033489,0.0684849229399984,0.070163404571921,0.0662501274923847,0,0
"RER1",0.927880311176444,1.43255042868847,1.1669475899319,1.34122884653274,1.37025188672755,1.67554537225143,1.82143140112281,1.09364923974145,0
"PEX10",0.0541286315262482,0.0377752708383554,0.0445284064858017,0.054212759275069,0.026983323464511,0.115564052840082,0.0642165151048515,0.129611740375855,0
"PLCH2",0.0176329287899598,0,0,0,0.0209914250028863,0,0,0,0
"PANK4",0.0628151204914219,0.0424931651685858,0.0991526617993428,0.0343910994207135,0.188634171146388,0.0565319934699289,0.262241352111648,0.0494775174160861,0
"RP3-395M20.12",0.307282487327262,0.274096217873756,0.24598486491069,0.116138384845285,0.250604161870101,0.628377558535717,0.168879342298279,0,1.47018246724397
"TNFRSF14",1.0399636454809,0.846900263396694,1.11759197503399,1.18894559879477,1.21577129237901,1.62433155146835,1.19487583778596,0.762855819817621,0.493194252674209
"RP3-395M20.9",0.0245078870105329,0,0.0556506147308525,0.0356861747759964,0,0.013419216317767,0,0,0
"FAM213B",0.0468468611165248,0.0647695224256198,0.138099096335816,0,0.101142311917369,0,0.038311240517968,0,0
"MMEL1",0.0156138078843111,0.0420908507797402,0.0100098096134212,0,0.0172295562700078,0.0785092864362134,0,0,0
"TTC34",0.012143458011144,0,0,0,0,0.00922558587083072,0.0296489563567362,0,0
"MEGF6",0.0315706361889923,0.0154457806760927,0.0237457638583908,0,0,0,0,0,0
"TPRG1L",0.0558119041138552,0.10938294849326,0.138731844914149,0.0105862226663731,0.149042315584887,0.0165713812246251,0.0300354418213492,0.205231813386725,0.0866738894907909
"WRAP73",0.101533012480416,0.107774140918278,0.142983393267597,0.244447795926708,0.244344873007011,0.158868833294898,0.324831301053324,0.15080625064704,0
"TP73-AS1",0.0925388962939469,0.025691701554303,0.0552435729108179,0.0772634544829375,0.018920473465928,0.0118868467286209,0,0,0
