"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS12",4.67234587875212e-144,0.744036008685013,1,0.991,6.40765513812065e-140,"0","RPS12"
"RPS27",7.13808784858503e-141,0.733473683551775,0.999,0.992,9.78917367554951e-137,"0","RPS27"
"RPS6",9.43641994405285e-141,0.685610221304998,1,0.995,1.29411063112741e-136,"0","RPS6"
"RPL32",3.2049221385231e-135,0.618601153989247,0.999,0.995,4.39523022077058e-131,"0","RPL32"
"RPS14",1.06173726611703e-129,0.630479344532347,1,0.994,1.45606648675289e-125,"0","RPS14"
"CYBA",1.39098428891871e-126,-1.73779852665478,0.66,0.915,1.90759585382312e-122,"0","CYBA"
"RPS25",1.17466958393299e-123,0.767128735119311,0.997,0.975,1.6109418674057e-119,"0","RPS25"
"RPL9",1.39525918594818e-118,0.76868889856799,0.994,0.972,1.91345844760933e-114,"0","RPL9"
"CD74",1.52072411468653e-117,-2.87083955147907,0.68,0.904,2.08552105088111e-113,"0","CD74"
"RPL13",1.93130598997768e-115,0.564310048965156,1,0.996,2.64859303465539e-111,"0","RPL13"
"RPL31",3.7679355016414e-115,0.759367001680694,0.996,0.964,5.16734674695102e-111,"0","RPL31"
"RPS3",2.36305883863866e-114,0.60530623393392,1,0.994,3.24069889130906e-110,"0","RPS3"
"RPL3",6.55933321776757e-113,0.616473638246498,0.997,0.995,8.99546957484644e-109,"0","RPL3"
"HLA-DRB1",9.16323598326981e-113,-4.27285680865927,0.103,0.589,1.25664618274562e-108,"0","HLA-DRB1"
"RPS3A",3.03587882387966e-110,0.795284950414081,0.991,0.977,4.16340421906856e-106,"0","RPS3A"
"RPL21",2.13320168381069e-108,0.676109896170787,0.997,0.991,2.92547278917798e-104,"0","RPL21"
"RPL30",2.29475511197664e-108,0.671293891683184,0.999,0.98,3.14702716056477e-104,"0","RPL30"
"LDHB",2.53378739132494e-108,1.18402067157042,0.901,0.593,3.47483602846303e-104,"0","LDHB"
"RPS15A",1.41135392032997e-106,0.643592202474943,0.997,0.983,1.93553076634052e-102,"0","RPS15A"
